# The power spectrum definition is smaller than CAMB by a factor 8 pi^3.
#       k [h/Mpc]           P_cdm          P_vcdm         P_total
         0.57544       0.0241138       0.0241138       0.0241138
        0.611881       0.0210949       0.0210949       0.0210949
        0.650629       0.0184377       0.0184377       0.0184377
        0.691831       0.0161029       0.0161029       0.0161029
        0.735642       0.0140495       0.0140495       0.0140495
        0.782228       0.0122476       0.0122476       0.0122476
        0.831764       0.0106683       0.0106683       0.0106683
        0.884437      0.00928499      0.00928499      0.00928499
        0.940445      0.00807453      0.00807453      0.00807453
               1      0.00701634      0.00701634      0.00701634
         1.06333      0.00609216      0.00609216      0.00609216
         1.13066      0.00528575      0.00528575      0.00528575
         1.20226      0.00458272      0.00458272      0.00458272
          1.2784      0.00397039      0.00397039      0.00397039
         1.35936      0.00343749      0.00343749      0.00343749
         1.44544      0.00297403      0.00297403      0.00297403
         1.53697      0.00257137      0.00257137      0.00257137
         1.63431      0.00222174      0.00222174      0.00222174
          1.7378      0.00191844      0.00191844      0.00191844
         1.84785       0.0016555       0.0016555       0.0016555
         1.96487      0.00142771      0.00142771      0.00142771
          2.0893      0.00123053      0.00123053      0.00123053
          2.2216      0.00105996      0.00105996      0.00105996
         2.36229     0.000912508     0.000912508     0.000912508
         2.51189     0.000785127     0.000785127     0.000785127
         2.67096     0.000675155     0.000675155     0.000675155
          2.8401     0.000580275     0.000580275     0.000580275
         3.01995     0.000498466     0.000498466     0.000498466
         3.21119      0.00042797      0.00042797      0.00042797
         3.41455     0.000367259     0.000367259     0.000367259
         3.63078     0.000315006     0.000315006     0.000315006
         3.86071     0.000270058     0.000270058     0.000270058
         4.10519     0.000231414     0.000231414     0.000231414
         4.36516     0.000198209     0.000198209     0.000198209
         4.64159     0.000169692     0.000169692     0.000169692
         4.93552     0.000145215     0.000145215     0.000145215
         5.24807     0.000124214     0.000124214     0.000124214
         5.58042     0.000106207     0.000106207     0.000106207
         5.93381     9.07723e-05     9.07723e-05     9.07723e-05
         6.30957     7.75499e-05     7.75499e-05     7.75499e-05
         6.70914     6.62276e-05     6.62276e-05     6.62276e-05
           7.134     5.65367e-05     5.65367e-05     5.65367e-05
         7.58578     4.82458e-05     4.82458e-05     4.82458e-05
         8.06616     4.11557e-05     4.11557e-05     4.11557e-05
         8.57696      3.5095e-05      3.5095e-05      3.5095e-05
         9.12011     2.99163e-05     2.99163e-05     2.99163e-05
         9.69765     2.54931e-05     2.54931e-05     2.54931e-05
         10.3118     2.17166e-05     2.17166e-05     2.17166e-05
         10.9648     1.84935e-05     1.84935e-05     1.84935e-05
         11.6591     1.57438e-05     1.57438e-05     1.57438e-05
         12.3975     1.33987e-05     1.33987e-05     1.33987e-05
         13.1826     1.13994e-05     1.13994e-05     1.13994e-05
         14.0174     9.69553e-06     9.69553e-06     9.69553e-06
          14.905     8.24394e-06     8.24394e-06     8.24394e-06
         15.8489     7.00767e-06     7.00767e-06     7.00767e-06
         16.8526     5.95512e-06     5.95512e-06     5.95512e-06
         17.9198     5.05928e-06     5.05928e-06     5.05928e-06
         19.0546     4.29705e-06     4.29705e-06     4.29705e-06
         20.2613     3.64869e-06     3.64869e-06     3.64869e-06
         21.5443     3.09737e-06     3.09737e-06     3.09737e-06
         22.9087     2.62868e-06     2.62868e-06     2.62868e-06
         24.3594     2.23037e-06     2.23037e-06     2.23037e-06
          25.902     1.89195e-06     1.89195e-06     1.89195e-06
         27.5423     1.60451e-06     1.60451e-06     1.60451e-06
         29.2864     1.36042e-06     1.36042e-06     1.36042e-06
         31.1411      1.1532e-06      1.1532e-06      1.1532e-06
         33.1131     9.77322e-07     9.77322e-07     9.77322e-07
         35.2101      8.2809e-07      8.2809e-07      8.2809e-07
         37.4398     7.01494e-07     7.01494e-07     7.01494e-07
         39.8107     5.94127e-07     5.94127e-07     5.94127e-07
         42.3318      5.0309e-07      5.0309e-07      5.0309e-07
         45.0125     4.25916e-07     4.25916e-07     4.25916e-07
          47.863     3.60509e-07     3.60509e-07     3.60509e-07
          50.894     3.05088e-07     3.05088e-07     3.05088e-07
          54.117     2.58137e-07     2.58137e-07     2.58137e-07
          57.544     2.18371e-07     2.18371e-07     2.18371e-07
         61.1881     1.84696e-07     1.84696e-07     1.84696e-07
         65.0629     1.56187e-07     1.56187e-07     1.56187e-07
         69.1831     1.32055e-07     1.32055e-07     1.32055e-07
         73.5642     1.11632e-07     1.11632e-07     1.11632e-07
         78.2228     9.43512e-08     9.43512e-08     9.43512e-08
         83.1764     7.97323e-08     7.97323e-08     7.97323e-08
         88.4437     6.73674e-08     6.73674e-08     6.73674e-08
         94.0445     5.69109e-08     5.69109e-08     5.69109e-08
             100     4.80697e-08     4.80697e-08     4.80697e-08
         106.333     4.05957e-08     4.05957e-08     4.05957e-08
         113.066     3.42785e-08     3.42785e-08     3.42785e-08
         120.226       2.894e-08       2.894e-08       2.894e-08
          127.84     2.44293e-08     2.44293e-08     2.44293e-08
         135.936     2.06186e-08     2.06186e-08     2.06186e-08
         144.544     1.73999e-08     1.73999e-08     1.73999e-08
         153.697     1.46815e-08     1.46815e-08     1.46815e-08
         163.431     1.23862e-08     1.23862e-08     1.23862e-08
          173.78     1.04482e-08     1.04482e-08     1.04482e-08
         184.785     8.81232e-09     8.81232e-09     8.81232e-09
         196.487     7.43157e-09     7.43157e-09     7.43157e-09
          208.93     6.26635e-09     6.26635e-09     6.26635e-09
          222.16     5.28315e-09     5.28315e-09     5.28315e-09
         236.229     4.45366e-09     4.45366e-09     4.45366e-09
         251.189     3.75394e-09     3.75394e-09     3.75394e-09
         267.096     3.16377e-09     3.16377e-09     3.16377e-09
          284.01     2.66606e-09     2.66606e-09     2.66606e-09
         301.995     2.24638e-09     2.24638e-09     2.24638e-09
         321.119     1.89254e-09     1.89254e-09     1.89254e-09
         341.455     1.59426e-09     1.59426e-09     1.59426e-09
         363.078     1.34284e-09     1.34284e-09     1.34284e-09
         386.071     1.13094e-09     1.13094e-09     1.13094e-09
         410.519     9.52375e-10     9.52375e-10     9.52375e-10
         436.516     8.01917e-10     8.01917e-10     8.01917e-10
         464.159     6.75156e-10     6.75156e-10     6.75156e-10
         493.552     5.68373e-10     5.68373e-10     5.68373e-10
         524.807      4.7843e-10      4.7843e-10      4.7843e-10
         558.042     4.02679e-10     4.02679e-10     4.02679e-10
         593.381     3.38887e-10     3.38887e-10     3.38887e-10
         630.957     2.85173e-10     2.85173e-10     2.85173e-10
         670.914      2.3995e-10      2.3995e-10      2.3995e-10
           713.4     2.01878e-10     2.01878e-10     2.01878e-10
         758.578     1.69831e-10     1.69831e-10     1.69831e-10
         806.616     1.42858e-10     1.42858e-10     1.42858e-10
         857.696     1.20158e-10     1.20158e-10     1.20158e-10
         912.011     1.01055e-10     1.01055e-10     1.01055e-10
         969.765     8.49821e-11     8.49821e-11     8.49821e-11
         1031.18     7.14591e-11     7.14591e-11     7.14591e-11
         1096.48     6.00826e-11     6.00826e-11     6.00826e-11
         1165.91      5.0513e-11      5.0513e-11      5.0513e-11
         1239.75     4.24639e-11     4.24639e-11     4.24639e-11
         1318.26     3.56944e-11     3.56944e-11     3.56944e-11
         1401.74     3.00016e-11     3.00016e-11     3.00016e-11
          1490.5     2.52147e-11     2.52147e-11     2.52147e-11
         1584.89     2.11898e-11     2.11898e-11     2.11898e-11
         1685.26      1.7806e-11      1.7806e-11      1.7806e-11
         1791.98     1.49613e-11     1.49613e-11     1.49613e-11
         1905.46     1.25701e-11     1.25701e-11     1.25701e-11
         2026.13     1.05603e-11     1.05603e-11     1.05603e-11
         2154.43     8.87116e-12     8.87116e-12     8.87116e-12
         2290.87     7.45164e-12     7.45164e-12     7.45164e-12
         2435.94     6.25879e-12     6.25879e-12     6.25879e-12
          2590.2     5.25651e-12     5.25651e-12     5.25651e-12
         2754.23     4.41441e-12     4.41441e-12     4.41441e-12
         2928.64     3.70695e-12     3.70695e-12     3.70695e-12
         3114.11     3.11265e-12     3.11265e-12     3.11265e-12
         3311.31     2.61345e-12     2.61345e-12     2.61345e-12
         3521.01     2.19415e-12     2.19415e-12     2.19415e-12
         3743.98       1.842e-12       1.842e-12       1.842e-12
         3981.07     1.54627e-12     1.54627e-12     1.54627e-12
         4233.18     1.29792e-12     1.29792e-12     1.29792e-12
         4501.25      1.0894e-12      1.0894e-12      1.0894e-12
          4786.3      9.1431e-13      9.1431e-13      9.1431e-13
          5089.4     7.67315e-13     7.67315e-13     7.67315e-13
          5411.7     6.43911e-13     6.43911e-13     6.43911e-13
          5754.4     5.40319e-13     5.40319e-13     5.40319e-13
         6118.81     4.53365e-13     4.53365e-13     4.53365e-13
         6506.29     3.80381e-13     3.80381e-13     3.80381e-13
         6918.31     3.19127e-13     3.19127e-13     3.19127e-13
         7356.42     2.67721e-13     2.67721e-13     2.67721e-13
         7822.28     2.24582e-13     2.24582e-13     2.24582e-13
         8317.64     1.88383e-13     1.88383e-13     1.88383e-13
         8844.37     1.58009e-13     1.58009e-13     1.58009e-13
         9404.45     1.32525e-13     1.32525e-13     1.32525e-13
